frame,kp_0_x,kp_1_x,kp_2_x,kp_3_x,kp_4_x,kp_5_x,kp_6_x,kp_7_x,kp_8_x,kp_9_x,kp_10_x,kp_11_x,kp_12_x,kp_13_x,kp_14_x,kp_15_x,kp_16_x,kp_0_y,kp_1_y,kp_2_y,kp_3_y,kp_4_y,kp_5_y,kp_6_y,kp_7_y,kp_8_y,kp_9_y,kp_10_y,kp_11_y,kp_12_y,kp_13_y,kp_14_y,kp_15_y,kp_16_y,kp_0_conf,kp_1_conf,kp_2_conf,kp_3_conf,kp_4_conf,kp_5_conf,kp_6_conf,kp_7_conf,kp_8_conf,kp_9_conf,kp_10_conf,kp_11_conf,kp_12_conf,kp_13_conf,kp_14_conf,kp_15_conf,kp_16_conf
10,295.4676,326.69293,253.0951,367.64447,199.45078,421.58896,161.94656,467.88803,133.49957,396.60605,138.88226,374.58167,212.4156,398.0393,201.07547,309.88052,260.15802,406.3501,365.8472,369.50504,371.03043,381.84406,467.80444,468.04346,484.95404,466.73486,478.19672,476.7624,434.07703,433.04474,466.1277,464.17188,471.0011,480.9864,0.98767686,0.992195,0.99451065,0.7527124,0.89004576,0.45752066,0.54517066,0.011387795,0.027584791,0.02759561,0.051261514,0.0059880614,0.008925468,0.0023770034,0.003456831,0.0016238987,0.0021373034
11,295.52484,324.91486,255.88924,365.2677,206.27003,421.55096,155.08281,466.2649,125.3943,395.48633,171.28564,374.27216,210.34578,399.2232,203.04132,304.27136,280.21686,384.4699,345.53796,349.6963,353.89584,365.82053,459.1723,470.3813,477.64685,481.4732,472.2315,462.23016,440.50598,446.53375,454.03296,465.33173,472.98926,492.98004,0.9864158,0.99091786,0.9934032,0.7640365,0.8943056,0.45819488,0.58619505,0.0072905123,0.019279689,0.017834008,0.03693977,0.0042243004,0.00647372,0.0023067892,0.0035139918,0.0018827617,0.0025265217
12,293.89923,322.6196,258.2475,364.12427,212.7124,416.89484,156.9598,463.9696,120.359665,386.69128,196.06131,368.16986,210.67317,392.76355,217.61932,302.11813,293.1912,358.00052,325.84027,329.03366,340.00778,349.0457,447.1637,461.89886,469.50513,485.54095,463.39752,446.10065,465.7397,474.48224,438.17596,454.05902,470.15552,489.56934,0.9878821,0.9913159,0.99179816,0.8069855,0.86832035,0.56521237,0.668308,0.010271251,0.021361142,0.023660064,0.04221782,0.0044136345,0.0061896443,0.0025345385,0.0036325455,0.002284944,0.0029433668
13,293.6074,322.24594,257.83908,363.11145,211.80322,421.49976,151.84804,467.74448,118.46669,386.37238,193.09015,374.3883,211.35495,397.96783,216.21893,299.4587,304.4189,354.58377,321.4976,324.1795,335.28015,343.6252,448.27423,463.4912,475.71173,493.39832,465.97107,448.37268,470.4599,479.18652,444.5725,459.2375,474.70575,492.53424,0.98804545,0.99149036,0.99153566,0.8247752,0.8744246,0.6271207,0.69919527,0.011128277,0.019322217,0.023403585,0.037139177,0.0044099987,0.0058172643,0.0023550987,0.003180921,0.0019834638,0.0024712682
14,292.49588,321.71658,257.04407,361.51642,211.42365,417.978,162.96863,462.09448,138.15215,395.56253,185.54929,370.17157,212.45667,382.9781,201.98602,306.41812,278.54358,348.0413,316.26373,318.69067,331.95453,339.6275,445.36438,451.28436,472.8482,467.68964,472.0324,439.27307,465.92896,468.61578,432.44275,438.52954,454.22192,465.0177,0.98859346,0.9910532,0.99162865,0.8415177,0.85659045,0.70657456,0.76911354,0.027016312,0.058243304,0.053882897,0.09694275,0.0066980124,0.009717077,0.0020087063,0.0028881133,0.0012758374,0.0016479492
15,289.07352,318.68558,254.24902,360.66907,208.52374,423.04193,156.93066,465.74005,120.01175,366.85016,153.97108,372.07834,211.86774,392.27704,212.47124,291.73602,301.82233,352.82047,320.72443,322.3455,331.4869,337.1358,446.8003,452.58386,482.72998,484.17725,465.55676,461.52234,476.21655,477.56165,443.64777,442.62018,484.98248,489.24768,0.9881325,0.9914204,0.9910865,0.8424213,0.86062455,0.66329193,0.74805045,0.013003647,0.027063698,0.025554717,0.043064922,0.004507154,0.006575614,0.0024701357,0.0035943985,0.0020572841,0.0027757883
16,289.6027,318.20813,255.17435,359.65634,208.23572,422.53528,144.61206,466.27295,111.11223,369.69214,184.27696,369.72098,204.14435,393.5261,209.80002,286.41287,318.50427,355.29504,322.67783,324.2841,329.70337,335.71414,448.15448,462.16614,484.01453,504.97278,465.42102,463.0301,482.71948,489.62646,445.65942,453.4253,474.9989,486.52386,0.98641014,0.990536,0.99005103,0.8554041,0.8698703,0.70941657,0.7680085,0.013348907,0.021691293,0.026232809,0.0373919,0.004428178,0.0057472885,0.0024148822,0.0032434165,0.0021367967,0.0026937127
17,289.32544,318.64505,253.42316,361.85074,206.08533,420.8365,150.56857,465.72308,121.17435,372.27106,193.64899,368.97266,207.37073,391.0669,218.28633,287.09464,313.98093,353.54822,321.102,323.78223,329.84976,337.88104,445.1703,457.39545,480.9107,494.71802,463.01837,457.90033,481.92737,488.44592,440.37067,449.75244,470.3321,484.85205,0.9877242,0.99110305,0.9907042,0.83923715,0.8652524,0.7004763,0.7405382,0.014788389,0.022430211,0.029863268,0.040971816,0.0045950115,0.0057735145,0.0024761558,0.0032456517,0.0021895766,0.0026857257
18,287.35458,317.0791,252.95483,358.68796,207.43637,415.89154,155.36475,457.38513,134.5921,389.09656,203.45602,364.94305,204.90424,382.46466,204.5697,301.08984,297.0583,352.56848,320.97443,322.981,331.29688,337.51413,445.2544,449.5116,477.83105,471.9109,468.63702,434.68213,478.71002,481.1598,432.75867,436.6031,448.7885,457.72577,0.98631227,0.9903418,0.9891412,0.87418085,0.8215351,0.7476583,0.7879455,0.03153342,0.06081584,0.06372267,0.105573416,0.006763369,0.009393603,0.0019981265,0.0028902888,0.00135535,0.0017780662
19,289.0135,317.03146,254.52014,359.54785,208.54073,422.218,145.22415,464.61798,114.06213,359.88623,203.41052,367.36664,203.06018,392.58865,215.11465,283.91794,324.46094,354.3916,321.91568,324.73984,328.34796,336.857,448.33423,463.65332,490.9892,510.39655,464.90662,458.73737,485.36566,493.6872,438.7433,450.61536,465.48914,482.88477,0.98571646,0.9902676,0.9886738,0.8702725,0.85573345,0.74375325,0.7828891,0.016269326,0.022867799,0.033557057,0.043093443,0.004436016,0.0054281354,0.0024285614,0.003147751,0.002133131,0.0026126206
20,289.90662,318.33435,254.6742,360.38815,207.2757,419.2937,147.63501,468.99002,114.77504,387.2498,199.66011,369.22595,207.87204,395.00534,220.35176,290.73352,320.86505,355.4774,322.72064,325.1385,328.60474,336.2889,443.61688,460.88934,477.5951,505.03375,464.2528,456.69318,483.776,492.99384,441.15198,452.51172,470.6305,482.63428,0.98763,0.9908762,0.99094856,0.8371322,0.8760431,0.726337,0.75239813,0.016057402,0.021889865,0.032026887,0.04212454,0.0046771765,0.0055257976,0.0025458634,0.0032151043,0.0022690892,0.002707243
