frame,kp_0_x,kp_1_x,kp_2_x,kp_3_x,kp_4_x,kp_5_x,kp_6_x,kp_7_x,kp_8_x,kp_9_x,kp_10_x,kp_11_x,kp_12_x,kp_13_x,kp_14_x,kp_15_x,kp_16_x,kp_0_y,kp_1_y,kp_2_y,kp_3_y,kp_4_y,kp_5_y,kp_6_y,kp_7_y,kp_8_y,kp_9_y,kp_10_y,kp_11_y,kp_12_y,kp_13_y,kp_14_y,kp_15_y,kp_16_y,kp_0_conf,kp_1_conf,kp_2_conf,kp_3_conf,kp_4_conf,kp_5_conf,kp_6_conf,kp_7_conf,kp_8_conf,kp_9_conf,kp_10_conf,kp_11_conf,kp_12_conf,kp_13_conf,kp_14_conf,kp_15_conf,kp_16_conf
10,407.2619,472.4546,353.74182,551.0974,278.87494,646.59985,149.50787,719.5539,-10.517181,638.4003,38.99826,488.89246,177.3906,533.16077,154.81793,402.9087,293.7052,662.4095,613.5137,606.98444,674.3321,654.0554,981.90576,886.63464,1192.6475,862.036,1121.1406,499.11502,1248.7592,1212.2039,1049.1011,1024.9501,1129.0219,1111.6318,0.99665034,0.9921381,0.99550176,0.7607914,0.86789453,0.8892877,0.9737181,0.12899908,0.67252886,0.252249,0.7646626,0.011991799,0.030739456,0.00073876977,0.0021104217,0.00016310811,0.0003399253
11,407.15167,472.63745,353.74365,551.84863,279.1607,646.4734,149.1195,717.7661,-9.737762,637.6638,38.43042,486.3816,174.28815,532.5311,153.6214,398.55225,289.844,662.7944,613.9335,607.5542,674.7073,654.4043,981.9609,885.3112,1196.4556,861.26697,1127.3425,498.7449,1250.4863,1213.5505,1051.8644,1028.4249,1127.5374,1112.4406,0.99663246,0.9921899,0.9954256,0.76723206,0.8653746,0.89309144,0.9740057,0.1326173,0.6716841,0.2482751,0.75737965,0.012415022,0.031421453,0.0007299483,0.0020662844,0.0001603365,0.00033184886
12,407.50287,472.82104,353.83527,551.94525,279.25067,646.6481,149.27698,716.85345,-9.582855,637.2003,38.39499,485.95294,173.75159,532.5705,154.59454,397.1338,289.5561,663.0287,614.0559,607.92163,674.93494,655.1875,982.63055,884.86237,1200.079,861.0776,1128.0933,498.27374,1250.8677,1213.6865,1053.6448,1030.4198,1126.1125,1112.4749,0.9966029,0.99210906,0.99540937,0.7661574,0.8657162,0.8926142,0.974136,0.1301533,0.6709668,0.24156934,0.7537756,0.012342691,0.031464726,0.00071644783,0.0020441115,0.0001578331,0.0003283322
13,407.6762,472.99146,354.13043,552.3927,279.74127,647.57196,149.23776,716.76306,-10.815369,634.8232,38.156036,486.1588,173.7514,533.6746,155.9295,397.00305,292.0019,663.24744,614.4154,608.38904,675.4998,655.928,984.0016,886.0681,1200.4423,861.54456,1127.5364,501.3398,1249.7458,1212.5317,1051.3745,1028.036,1124.8173,1111.7167,0.99652994,0.99196047,0.9953613,0.76672053,0.8659085,0.8896853,0.9741715,0.12445018,0.6691123,0.23495665,0.7525587,0.011926293,0.030933857,0.0007151067,0.002075553,0.00016054511,0.00033816695
14,407.99713,473.38995,354.33966,552.9121,279.86243,648.8139,148.1637,717.2289,-10.321808,632.01624,37.72821,483.29053,169.89502,533.57214,153.6549,393.27136,292.54584,663.9846,614.5448,608.5841,675.2682,655.8494,986.064,887.5819,1202.2263,862.33936,1125.5112,502.49493,1244.1528,1206.5457,1047.7148,1023.8915,1121.1079,1109.1384,0.9964008,0.9917542,0.99529594,0.7674743,0.8664661,0.8856465,0.9733824,0.11548394,0.6544391,0.22322378,0.7411097,0.011295766,0.029530227,0.00072592497,0.0021252632,0.00016796589,0.0003554523
15,408.18787,473.56317,354.4001,553.0942,279.6375,648.56274,147.88843,717.9938,-9.7777405,635.6635,36.455048,483.90167,170.47385,533.37634,153.50873,391.8246,292.53302,664.5545,615.00757,609.0934,674.6968,655.3987,984.9033,886.8693,1203.4594,865.6249,1124.5957,506.99417,1247.4668,1210.2201,1046.671,1023.84106,1117.8892,1108.0942,0.996414,0.9917636,0.99536544,0.7643193,0.86844194,0.88644177,0.97312546,0.11495897,0.6476762,0.21970215,0.7339019,0.010979146,0.02848804,0.000710696,0.002062589,0.00016906857,0.00035494566
16,408.3922,473.9088,354.39783,553.46497,279.2331,647.8571,146.69293,715.38226,-8.877319,633.7533,36.851807,481.06348,166.66754,533.2729,149.31372,389.66528,286.97778,665.2492,615.1575,609.2381,674.14954,654.84467,984.46704,887.103,1206.2455,870.6137,1125.2778,508.85345,1247.1027,1210.0397,1047.5308,1024.8542,1112.7786,1103.1694,0.9964415,0.9917471,0.99541247,0.76264554,0.870129,0.89097166,0.9736353,0.12066573,0.650764,0.22663632,0.73585,0.01144886,0.029150039,0.0007119477,0.002030462,0.00016736984,0.00034675002
17,409.1349,474.6139,354.6225,554.3873,278.75433,648.68976,145.24591,716.03906,-9.487732,634.66125,35.80551,480.59943,164.78204,535.6868,150.58667,388.08606,285.6704,665.2369,615.335,609.5778,674.53546,655.69586,985.9257,888.3864,1208.8762,874.3916,1124.0461,516.7859,1248.5178,1211.7848,1048.9412,1027.5065,1108.7686,1102.8965,0.996427,0.99164814,0.9954741,0.7600421,0.8746061,0.89238095,0.97386074,0.11795527,0.64275646,0.21765491,0.7249731,0.011465043,0.029087394,0.0006971657,0.001985699,0.00016525388,0.0003415048
18,409.46106,474.83936,354.54236,554.501,278.40057,648.4606,145.46875,713.63196,-10.381012,633.8449,38.19809,481.20654,166.04642,533.5973,149.87433,387.20227,287.30353,665.6616,615.1177,609.5552,674.12604,655.89874,986.8055,889.6061,1207.699,875.03394,1119.226,520.3058,1243.8812,1207.2787,1046.3169,1024.3489,1103.957,1097.623,0.9963807,0.991435,0.995472,0.75438094,0.8757184,0.88862383,0.97404283,0.11340657,0.6463081,0.21835193,0.7331245,0.011195928,0.029009223,0.00069895387,0.0020241141,0.00016665459,0.00034826994
19,409.13068,475.03918,354.27496,555.3038,277.74945,646.17456,144.56732,710.19434,-10.9157715,628.75,34.087463,476.27478,161.63446,532.2275,150.48337,380.28357,279.54224,666.2011,615.97144,609.8352,674.07495,654.4014,984.9692,886.982,1209.07,877.55304,1122.9565,524.909,1249.9657,1212.8856,1062.1138,1039.1796,1116.2699,1109.5299,0.99633497,0.99183697,0.9953575,0.76693094,0.8681961,0.8865989,0.97120893,0.10693592,0.6018607,0.19321787,0.68360126,0.0114969015,0.028649688,0.0007058084,0.0019709468,0.00017002225,0.00034734607
